Marca_de_Tiempo,FEM_Real_Pico_(V),Velocidad_Max_(m/s),Posicion_Max_(m),Frec_Dominante_FFT_(Hz),Amplitud_Max_FFT
12:26:26.124,0.0,0.0,0.0,0.0,0.0
12:26:26.235,0.0,0.0,0.0,0.0,0.0
12:26:26.347,0.0,0.0,0.0,0.0,0.0
12:26:26.451,0.0,0.0,0.0,0.0,0.0
12:26:26.560,0.0,0.0,0.0,0.0,0.0
12:26:26.681,0.0,0.0,0.0,0.0,0.0
12:26:26.783,0.0,0.0,0.0,0.0,0.0
12:26:26.893,0.0,0.0,0.0,0.0,0.0
12:26:26.999,0.0,0.0,0.0,0.0,0.0
12:26:27.107,0.0,0.0,0.0,0.0,0.0
12:26:27.217,0.0,0.0,0.0,0.0,0.0
12:26:27.330,0.0,0.0,0.0,0.0,0.0
12:26:27.449,0.0,0.0,0.0,0.0,0.0
12:26:27.560,0.0,0.0,0.0,0.0,0.0
12:26:27.672,0.0,0.0,0.0,0.0,0.0
12:26:27.781,0.0,0.0,0.0,0.0,0.0
12:26:27.890,0.0,0.0,0.0,0.0,0.0
12:26:28.004,0.0,0.0,0.0,0.0,0.0
12:26:28.114,0.0,0.0,0.0,0.0,0.0
12:26:28.226,0.0,0.0,0.0,0.0,0.0
12:26:28.338,0.0,0.0,0.0,0.0,0.0
12:26:28.448,0.0,0.0,0.0,0.0,0.0
12:26:28.559,0.0,0.0,0.0,0.0,0.0
12:26:28.670,0.0,0.0,0.0,0.0,0.0
12:26:28.781,0.0,0.0,0.0,0.0,0.0
12:26:28.891,0.0,0.0,0.0,0.0,0.0
12:26:29.001,0.0,0.0,0.0,0.0,0.0
12:26:29.105,0.0,0.0,0.0,0.0,0.0
12:26:29.216,0.0,0.0,0.0,0.0,0.0
12:26:29.328,0.0,0.0,0.0,0.0,0.0
12:26:29.439,0.0,0.0,0.0,0.0,0.0
12:26:29.544,0.0,0.0,0.0,0.0,0.0
12:26:29.658,0.0,0.0,0.0,0.0,0.0
12:26:29.769,0.0,0.0,0.0,0.0,0.0
12:26:29.878,0.0,0.0,0.0,0.0,0.0
12:26:29.981,0.0,0.0,0.0,0.0,0.0
12:26:30.093,0.0,0.0,0.0,0.0,0.0
12:26:30.204,0.0,0.0,0.0,0.0,0.0
12:26:30.315,0.0,0.0,0.0,0.0,0.0
12:26:30.427,0.0,0.0,0.0,0.0,0.0
12:26:30.537,0.0,0.0,0.0,0.0,0.0
12:26:30.640,0.0,0.0,0.0,0.0,0.0
12:26:30.751,0.0,0.0,0.0,0.0,0.0
12:26:30.862,0.0,0.0,0.0,0.0,0.0
12:26:30.975,0.0,0.0,0.0,0.0,0.0
12:26:31.085,0.0,0.0,0.0,0.0,0.0
12:26:31.189,0.0,0.0,0.0,0.0,0.0
12:26:31.299,0.0,0.0,0.0,0.0,0.0
12:26:31.410,0.0,0.0,0.0,0.0,0.0
12:26:31.521,0.0,0.0,0.0,0.0,0.0
12:26:31.632,0.0,0.0,0.0,0.0,0.0
12:26:31.738,0.0,0.0,0.0,0.0,0.0
12:26:31.856,0.0,0.0,0.0,0.0,0.0
12:26:31.967,0.0,0.0,0.0,0.0,0.0
12:26:32.079,0.0,0.0,0.0,0.0,0.0
12:26:32.189,0.0,0.0,0.0,0.0,0.0
12:26:32.303,0.0,0.0,0.0,0.0,0.0
12:26:32.407,0.0,0.0,0.0,0.0,0.0
12:26:32.518,0.0,0.0,0.0,0.0,0.0
12:26:32.632,0.0,0.0,0.0,0.0,0.0
12:26:32.736,0.0,0.0,0.0,0.0,0.0
12:26:32.846,0.0,0.0,0.0,0.0,0.0
12:26:32.957,0.0,0.0,0.0,0.0,0.0
12:26:33.067,0.0,0.0,0.0,0.0,0.0
12:26:33.177,0.0,0.0,0.0,0.0,0.0
12:26:33.285,0.0,0.0,0.0,0.0,0.0
12:26:33.396,0.0,0.0,0.0,0.0,0.0
12:26:33.508,0.0,0.0,0.0,0.0,0.0
12:26:33.619,0.0,0.0,0.0,0.0,0.0
12:26:33.729,0.0,0.0,0.0,0.0,0.0
12:26:33.831,0.0,0.0,0.0,0.0,0.0
12:26:33.943,0.0,0.0,0.0,0.0,0.0
12:26:34.054,0.0,0.0,0.0,0.0,0.0
12:26:34.165,0.0,0.0,0.0,0.0,0.0
12:26:34.261,0.0,0.0,0.0,0.0,0.0
12:26:34.371,0.0,0.0,0.0,0.0,0.0
