Marca_de_Tiempo,FEM_Real_Pico_(V),Velocidad_Max_(m/s),Posicion_Max_(m),Frec_Dominante_FFT_(Hz),Amplitud_Max_FFT
11:47:31.986,0.0,0.0,0.0,0.0,0.0
11:47:32.094,0.0,0.0,0.0,0.0,0.0
11:47:32.204,0.0,0.0,0.0,0.0,0.0
11:47:32.312,0.0,0.0,0.0,0.0,0.0
11:47:32.422,0.0,0.0,0.0,0.0,0.0
11:47:32.536,0.0,0.0,0.0,0.0,0.0
11:47:32.646,0.0,0.0,0.0,0.0,0.0
11:47:32.747,0.0,0.0,0.0,0.0,0.0
11:47:32.858,0.0,0.0,0.0,0.0,0.0
11:47:32.978,0.0,0.0,0.0,0.0,0.0
11:47:33.086,0.0,0.0,0.0,0.0,0.0
11:47:33.184,0.0,0.0,0.0,0.0,0.0
11:47:33.294,0.0,0.0,0.0,0.0,0.0
11:47:33.407,0.0,0.0,0.0,0.0,0.0
11:47:33.526,0.0,0.0,0.0,0.0,0.0
11:47:33.621,0.0,0.0,0.0,0.0,0.0
11:47:33.731,0.0,0.0,0.0,0.0,0.0
11:47:33.842,0.0,0.0,0.0,0.0,0.0
11:47:33.951,0.0,0.0,0.0,0.0,0.0
11:47:34.059,0.0,0.0,0.0,0.0,0.0
11:47:34.170,0.0,0.0,0.0,0.0,0.0
11:47:34.282,0.0,0.0,0.0,0.0,0.0
11:47:34.393,0.0,0.0,0.0,0.0,0.0
11:47:34.506,0.0,0.0,0.0,0.0,0.0
11:47:34.615,0.0,0.0,0.0,0.0,0.0
11:47:34.717,0.0,0.0,0.0,0.0,0.0
11:47:34.836,0.0,0.0,0.0,0.0,0.0
11:47:34.947,0.0,0.0,0.0,0.0,0.0
11:47:35.043,0.0,0.0,0.0,0.0,0.0
11:47:35.157,0.0,0.0,0.0,0.0,0.0
11:47:35.269,0.0,0.0,0.0,0.0,0.0
11:47:35.380,0.0,0.0,0.0,0.0,0.0
11:47:35.492,0.0,0.0,0.0,0.0,0.0
11:47:35.604,0.0,0.0,0.0,0.0,0.0
11:47:35.711,0.0,0.0,0.0,0.0,0.0
11:47:35.822,0.0,0.0,0.0,0.0,0.0
11:47:35.935,0.0,0.0,0.0,0.0,0.0
11:47:36.046,0.0,0.0,0.0,0.0,0.0
11:47:36.153,0.0,0.0,0.0,0.0,0.0
11:47:36.265,0.0,0.0,0.0,0.0,0.0
11:47:36.378,0.0,0.0,0.0,0.0,0.0
11:47:36.490,0.0,0.0,0.0,0.0,0.0
