	masa A		
t	x	y	
2.392	-5.632E-5	-1.645E-4
2.409	-5.632E-5	-2.030E-4
2.426	-4.346E-5	-6.163E-5
2.443	-3.061E-5	2.834E-5
2.460	-3.061E-5	-1.516E-4
2.477	-4.346E-5	-8.734E-5
2.494	-3.061E-5	-2.030E-4
2.511	-3.061E-5	-6.163E-5
2.528	-4.346E-5	-7.449E-5
2.545	-4.346E-5	-1.388E-4
2.562	-4.346E-5	-8.734E-5
2.579	-4.346E-5	-1.773E-4
2.597	-4.346E-5	-4.878E-5
2.614	-5.632E-5	-1.022E-5
2.631	-5.632E-5	-1.022E-5
2.648	-3.061E-5	-1.516E-4
2.665	-3.061E-5	-1.516E-4
2.682	-6.917E-5	-1.773E-4
2.699	-4.346E-5	2.634E-6
2.716	-6.917E-5	1.549E-5
2.733	-3.061E-5	-3.593E-5
2.750	-3.061E-5	-1.388E-4
2.767	-4.346E-5	-2.287E-4
2.784	-4.346E-5	-2.159E-4
2.802	-5.632E-5	-2.307E-5
2.819	-5.632E-5	4.120E-5
2.836	-3.061E-5	-1.645E-4
2.853	-5.632E-5	-1.773E-4
2.870	-3.061E-5	-1.259E-4
2.887	-4.346E-5	2.634E-6
2.904	-4.346E-5	-2.307E-5
2.921	-3.061E-5	-1.388E-4
2.938	-3.061E-5	-1.002E-4
2.955	-3.061E-5	-2.287E-4
2.972	-4.346E-5	-1.130E-4
2.989	-4.346E-5	-6.163E-5
3.006	-4.346E-5	-2.307E-5
3.024	-3.061E-5	-2.030E-4
3.041	-3.061E-5	-1.516E-4
3.058	-3.061E-5	-2.159E-4
3.075	-3.061E-5	-2.307E-5
3.092	-3.061E-5	-3.593E-5
3.109	-1.775E-5	-2.307E-5
3.126	-1.775E-5	-2.287E-4
3.143	-3.061E-5	-8.734E-5
3.160	-1.775E-5	-1.516E-4
3.177	-1.775E-5	-1.022E-5
3.194	-3.061E-5	4.120E-5
3.211	-4.900E-6	1.549E-5
3.229	-1.775E-5	-2.030E-4
3.246	-3.061E-5	-2.159E-4
3.263	-3.061E-5	-1.773E-4
3.280	-3.061E-5	2.834E-5
3.297	-1.775E-5	5.405E-5
3.314	-3.061E-5	-8.734E-5
3.331	-3.061E-5	-2.287E-4
3.348	-3.061E-5	-2.416E-4
3.365	-4.346E-5	-2.159E-4
3.382	-4.346E-5	-6.163E-5
3.399	-4.346E-5	-4.878E-5
3.416	-3.061E-5	-1.645E-4
3.434	-3.061E-5	-1.388E-4
3.451	-3.061E-5	-1.902E-4
3.468	-3.061E-5	-8.734E-5
